ID,INTITULE,CATEGORIES,NOMENCLATURE,SITE_WEB,ADRESSE,CODE_COMMUNE,CODE_POSTAL,COMMUNE,TELEPHONE,FAX,LATITUDE,LONGITUDE,PRECISION,RESSORT,ORGANISME,URL,HORAIRES_OUVERTURES,Adresse,ACTIVITES,ORGANISME_TUTEUR,INTERVENANTS,HORAIRES_PERM_CONSEIL_JURIDIQUE,HORAIRES_PERM_DROIT_TRAVAIL,RUE_VOIE_CHEMIN,HORAIRES_PERM_INFOS_GENERALISTES,HORAIRES_PERM_CONCILIATION_RES_AMIABLE_CONFLITS,ACTIVITES_2,HORAIRES_PERM_DROIT_JEUNES,DATE_CONVENTION_CADRE,HORAIRES_PERM_AIDE_VICTIMES,COURRIEL,TELEPHONE_2,ACTIVITES_3,HORAIRES_PERM_MEDIATION_FAMILLIALE,HORAIRES_PERM_DROIT_ADMINISTRATIF_LITIGE_AVEC_ADMINISTRATIONS,HORAIRES_PERM_LUTTE_DISCRIMINATIONS,HORAIRES_PERM_DROIT_LOGEMENT_EXPULS_LOCATIVE,HORAIRES_PERM_CONSO_SURRENDETEMENT,COURRIEL_2,ADRESSE_3,HORAIRES_PERM_DROIT_FAMILLE,TERRITOIRES_COMPETENCE_2,SITE_WEB_2,JOURS_HORAIRES_PERM_INFOS_GENERALISTES_ET_AIDE_ACCOMPLISSEMENT_DEMARCHES,JOURS_HORAIRES_PERM_CONCILIATION_RESOLUTION_AMIABLE_CONFLITS,RESSORT_2,CONSULTATIONS_JURIDIQUES,INFORMATIONS_COMPLEMENTAIRES,RESEAUX,SIGLE,TEXTE_COURT,SERVICE_CIVIL_HORS_VACATION_DU_10_07_AU_27_08_ET_NOEL_ET_PACQUES,AUDIENCES_PENALES_HORS_VACATION,PERM_CONSULT_JURIDIQUES_GRATUITES,CATEGORIES,Mission,HORAIRES_PERM_DROIT_ETRANGERS,FAX_2
4cac9e60293594648a000347,Conseil départemental d'accès au droit du Nord,justice-organisme-public,cdad,http://www.cdad-nord.justice.fr/,Tribunal de Grande Instance 13 avenue du Peuple Belge,59350,59034,LILLE CEDEX,+33 3 20 78 33 33,+33 3 20 78 50 50,50.6433964,3.0627244,9,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/cdad-59350-01.html,,,   ,,,,,,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a000346,Cour d'Appel de Douai,justice-organisme-public,cour_appel,http://www.justice.gouv.fr/,Place Charles de Pollinchove B.P. 705,59178,59507,DOUAI CEDEX,+33 3 27 93 27 00,+33 3 27 08 10 01,50.370402,3.078225,6,,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/cour_appel-59178-01.html,Du Lundi au Vendredi : de 8h à 17h,,   ,,,,,,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a00034f,Permanence d’information et d’orientation juridiques de Cambrai,justice-organisme-public,acces_droit,,Tribunal de grande instance Palais de Justice,59122,59400,CAMBRAI,+33 3 27 78 29 76,,50.1817035,3.2286309,6,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59122-01.html,,Rue du Chateau de Selles,acces-au-droit droit-du-travail orientation-aide-et-ou-conseil-juridique permanence-d-information-et-d-orientation-juridiques,4cac9e60293594648a000347,Avocats,"Avocats : deux samedis par mois, de 10h00 à 12h00.","deux lundis par mois, de 14h30 à 15h30",,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a00034e,Permanence d’information et d’orientation juridiques de Bauvin,justice-organisme-public,acces_droit,,Mairie Rue Ghesquières,59052,59221,BAUVIN,,,50.516381,2.8941165,4,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59052-01.html,,,acces-au-droit orientation-aide-et-ou-conseil-juridique permanence-d-information-et-d-orientation-juridiques ,4cac9e60293594648a000347,Avocats,"Avocats : le quatrième jeudi du mois, de 14h30 à 16h30",,,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a00034d,Conseil de Prud'hommes de Montauban,justice-organisme-public,prudhommes,http://www.justice.gouv.fr/, ,82121,82013,MONTAUBAN CEDEX,+33 5 63 63 51 13,+33 5 63 66 41 10,44.016448,1.352893,8,,Ministère de la justice,http://lannuaire.service-public.fr/services_locaux/midi-pyrenees/tarn-et-garonne/prudhommes-82121-01.html,Du Lundi au Vendredi : de 8h à 12h30 et de 13h15 à 18h,,   ,,,,,16 Place de l'Hôtel de Ville,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a00034b,Maison de Justice et du Droit de Aulnoy-Aymeries,,mjd,http://www.justice.gouv.fr/, ,59033,59620,Aulnoye-Aymeries,+33 3 27 66 99 00,+33 3 27 62 46 75,50.206769,3.843379,8,4cac9e60293594648a000346,Ministère de la justice,,"Du Mardi au Jeudi : de 9h00 à 12h00 et de 13h30 à 17h00
Le Vendredi : de 9h00 à 12h00 et de 13h30 à 16h30",,acces-au-droit conciliation-resolution-amiable-des-conflits orientation-aide-et-ou-conseil-juridique permanences-d-information-generaliste-accueil-ecoute-orientation-et-aide-dans-l-accomplissement-des-demarches,4cac9e60293594648a000347,,"Avocats, notaires : une permanence mensuelle. Se renseigner pour connaître les jours et horaires des permanences des intervenants",,1 Avenue Joliot Curie,Se renseigner pour connaître les jours et horaires des permanences de tous les intervenants,"une permanence mensuelle, sur rendez-vous",  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a00034a,Antenne de justice d'Armentières,justice-organisme-public,acces_droit,, ,59017,59280,ARMENTIERES,+33 3 20 10 80 60,,50.68152,2.882168,8,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59017-01.html,,,acces-au-droit aide-aux-victimes antenne-de-justice droit-du-logement-et-ou-prevention-des-expulsions-locatives,4cac9e60293594648a000347,"Avocats, huissiers de justice, juristes du Service Droit des jeunes, Centre d'Information sur les Droits des Femmes (CIDF), médiateurs, Service d'Insertion et de Probation (SPIP), conciliateurs de justice, psychologues, Association Départementale d'Information sur le Logement (ADIL)","Avocats : tous les vendredis, de 14h00 à 17h00 ; notaires : le troisième mardi du mois ; huissiers de justice : le deuxième mardi de chaque trimestre, sur rendez-vous",,58 rue Jules Ferry,Se renseigner pour connaître les jours et horaires des permanences de tous les intervenants,,droits-des-jeunes-mineurs orientation-aide-et-ou-conseil-juridique permanences-d-information-generaliste-accueil-ecoute-orientation-et-aide-dans-l-accomplissement-des-demarches,une permanence hebdomadaire. Se renseigner pour connaître les jours et horaires des permanences des intervenants,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a000349,Permanence d’information et d’orientation juridiques d'Annoeullin,justice-organisme-public,acces_droit,,Mairie Grand'place,59011,59112,ANNOEULLIN,,,50.5293038,2.9315889,6,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59011-01.html,,,acces-au-droit orientation-aide-et-ou-conseil-juridique permanence-d-information-et-d-orientation-juridiques ,4cac9e60293594648a000347,Avocats,"Avocats : le deuxième vendredi du mois, de 08h30 à 12h00",,,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a000348,Point d'accès au droit de Villeneuve D’Ascq,justice-organisme-public,acces_droit,,Maison de la Médiation 72 Chaussée de l'Hôtel de Ville,59009,59650,VILLENEUVE D ASCQ,+33 3 28 80 02 80,,50.6206634,3.1301371,8,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59009-01.html,,,acces-au-droit aide-aux-victimes conciliation-resolution-amiable-des-conflits orientation-aide-et-ou-conseil-juridique,4cac9e60293594648a000347,"Avocats, juristes, notaires, huissiers de justice, médiateurs, Service Pénitentiaire d'Insertion et de Probation (SPIP), conciliateurs de justice, psychologues, services de la Protection Judiciaire de la Jeunesse, réseau associatif","Avocats : le deuxième et quatrième vendredi du mois, de 14h00 à 17h00, sur rendez-vous ; notaires : permanences un jeudi après-midi, une fois par trimestre",,,Se renseigner pour connaître les jours et horaires des permanences de tous les intervenants,Se renseigner pour connaître les jours et horaires des permanences des intervenants,permanences-d-information-generaliste-accueil-ecoute-orientation-et-aide-dans-l-accomplissement-des-demarches point-d-acces-au-droit ,,4 septembre 2006,Se renseigner pour connaître les jours et horaires des permanences des intervenants,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
4cac9e60293594648a000357,Permanence d’information et d’orientation juridiques de Douai,justice-organisme-public,acces_droit,,Maison de l'avocat 70 rue Merlin de Douai,59178,59500,DOUAI,+33 3 27 71 59 90,,50.3695442,3.0784224,8,4cac9e60293594648a000346,Direction de l’information légale et administrative,http://lannuaire.service-public.fr/services_locaux/nord-pas-de-calais/nord/acces_droit-59178-01.html,,,acces-au-droit orientation-aide-et-ou-conseil-juridique permanence-d-information-et-d-orientation-juridiques ,4cac9e60293594648a000347,Avocats,"Avocats : sur rendez-vous, les lundis de 09h00 à 12h00",,,,,  ,,,,,,   ,,,,,,,,,                 ,,,,,,,,,,,,,      ,,,
