GREFFE,ADRESSE,CODE_POSTAL,VILLE,TELEPHONE,FAX,SITE_LOCAL,COMPLEMENT_ADRESSE,LATTITUDE,LONGITUDE,HORAIRES,NUMERO,GREFFE_NORMALISE,SITE_DATA_GREFFE
LA ROCHELLE,14 RUE DU PALAIS,17001,LA ROCHELLE CEDEX 1,546413465,,http://www.greffe-tc-larochelle.fr,Hotel de La Bourse,46.159636,-1.153709,Ouverture au Public : Du lundi au vendredi de 8h30 à 12h00 et de 13h30 à 16h00 Standard téléphonique</u> :<br>Du lundi au vendredi de 10h00 à 12h00 et de 14h00 à 16h00,1704,larochelle,https://larochelle-mongreffe.opendatasoft.com
MARSEILLE,2 RUE EMILE POLLAK,13291,MARSEILLE CEDEX 06,491547040,,http://www.greffe-tc-marseille.fr,,43.291342,5.374374,- du lundi au Jeudi de 08 h 20 à 12 h 00 et de 13 h 00 à 16 h 00. Le vendredi de 08 h 20 à 12 h 00 et de 13 h 00 à 15 h 30,1303,marseille,https://marseille-mongreffe.opendatasoft.com
MANOSQUE,RUE DES TANNEURS,4100,MANOSQUE,492877426,492726663,http://www.greffe-tc-manosque.fr,,43.830893,5.785401,9h-12h/14h-17h,401,manosque,https://manosque-mongreffe.opendatasoft.com
VALENCIENNES,3 PL DU COMMERCE,59300,VALENCIENNES,327463478,,http://www.greffe-tc-valenciennes.fr,,50.357113,3.518332,de 9 h à 12 h et de 14 h à 16 h,5906,valenciennes,https://valenciennes-mongreffe.opendatasoft.com
TOURS,12 RUE BERTHELOT,37041,TOURS CEDEX,247312001,,http://www.greffe-tc-tours.fr,,47.395121,0.688083,Du lundi au vendredi de 09 h à 12 h et de 14 h à 16 h,3701,tours,https://tours-mongreffe.opendatasoft.com
VANNES,19 RUE DES TRIBUNAUX,56019,VANNES CEDEX,297472289,,http://www.greffe-tc-vannes.fr,,47.658236,-2.760847,09h00-12h00 / 14h00-17h00,5602,vannes,https://vannes-mongreffe.opendatasoft.com
TARBES,SQ MAURICE TRELUT,65013,TARBES CEDEX 9,562517777,,http://www.greffe-tc-tarbes.fr,,43.221049,0.074533,08.00-12.00/14.00-16.30,6502,tarbes,https://tarbes-mongreffe.opendatasoft.com
SENS,1 RUE DU PALAIS DE JUSTICE,89100,SENS,386652353,,http://www.greffe-tc-sens.fr,,48.196331,3.276994,10h-12h/13h30 à 15h30,8903,sens,https://sens-mongreffe.opendatasoft.com
LORIENT,3 RUE BENJAMIN DELESSERT,56104,LORIENT CEDEX 04,297210153,,,,47.746653,-3.367889,9h-12h / 14h-16h  du Lundi au Vendredi,5601,lorient,https://lorient-mongreffe.opendatasoft.com
SAINT-BRIEUC,17 RUE PARMENTIER,22021,ST BRIEUC CEDEX 1,296336892,,,,48.5088083,-2.751733,,2202,saintbrieuc,https://saintbrieuc-mongreffe.opendatasoft.com
CLERMONT-FERRAND,40 RUE DE L'ANGE,63000,CLERMONT FERRAND,473160160,,http://www.greffe-tc-clermontferrand.fr,,45.779788,3.079895,Du lundi au vendredi  de 9h30 à 12h et de 14h à 16h,6303,clermontferrand,https://clermontferrand-mongreffe.opendatasoft.com
CAHORS,BD GAMBETTA,46010,CAHORS CEDEX 9,565352434,,http://www.greffe-tc-cahors.fr,,44.448656,1.440078,Du Lun au Ven 8h30-12h/13h30-15h30 sauf le Mercredi après-midi,4601,cahors,https://cahors-mongreffe.opendatasoft.com
CRETEIL,,94049,CRETEIL CEDEX,143991007,,http://www.greffe-tc-creteil.fr,IMMEUBLE LE PASCAL,48.780932,2.458556,Lundi au vendredi  9h30-12h30 et 13h30-16h,9401,creteil,https://creteil-mongreffe.opendatasoft.com
BRIEY,4 RUE DU MARECHAL FOCH,54153,BRIEY CEDEX,382461504,,http://www.greffe-tc-briey.fr,,49.248997,5.939666,De 8h30 à 12h et 13h30 à 16h30,5401,briey,https://briey-mongreffe.opendatasoft.com
CANNES,19 BD CARNOT,6414,CANNES CEDEX,483142100,,http://www.greffe-tc-cannes.fr,,43.556456,7.016884,09h à 11h30/14h-16h,602,cannes,https://cannes-mongreffe.opendatasoft.com
CHALONS-EN-CHAMPAGNE,,51008,CHALONS EN CHAMPAGNE CEDEX,326684860,,http://www.greffe-tc-chalonsenchampagne.fr,,48.959158,4.362881,08H30 à 12H00/13H30 à 17H00,5101,chalonsenchampagne,https://chalonsenchampagne-mongreffe.opendatasoft.com
DIJON,13 BD CLEMENCEAU,21072,DIJON CEDEX,380704551,,http://www.greffe-tc-dijon.fr,,47.327705,5.048132,9h-11h45/14h-16h30,2104,dijon,https://dijon-mongreffe.opendatasoft.com
EPINAL,1 PL FOCH,88000,EPINAL,329343376,,http://www.greffe-tc-epinal.fr,,48.173094,6.448138,8h30 à 12h/13h30 à 16h,8801,epinal,https://epinal-mongreffe.opendatasoft.com
DAX,55 AV VICTOR HUGO,40100,DAX,558900684,,http://www.greffe-tc-dax.fr,,43.703894,-1.052756,09h-12h/14h-17h,4001,dax,https://dax-mongreffe.opendatasoft.com
CARCASSONNE,34 RUE DE STRASBOURG,11000,CARCASSONNE,468112730,,,,43.212161,2.353663,,1101,carcassonne,https://carcassonne-mongreffe.opendatasoft.com
BOULOGNE-SUR-MER,16 rue de la Barrière Saint-Michel,62200,BOULOGNE SUR MER,321874767,,http://www.greffe-tc-boulognesurmer.fr,,50.7262795,1.6095371,10h00 à 12h00 et 14h00 à 16h00,6202,boulognesurmer,https://boulognesurmer-mongreffe.opendatasoft.com
AJACCIO,AV MARECHAL LYAUTEY,20700,AJACCIO CEDEX 9,495231782,,http://www.greffe-tc-ajaccio.fr,,41.937945,8.744795,Lundi-Jeudi:9h-11h30/14h-16h.Vendredi de 9h à 11h30,2001,ajaccio,https://ajaccio-mongreffe.opendatasoft.com
AMIENS,18 RUE LAMARTINE,80002,AMIENS CEDEX 1,322914323,,http://www.greffe-tc-amiens.fr,,49.891918,2.304865,9H à 12H/14H à 16H30,8002,amiens,https://amiens-mongreffe.opendatasoft.com
ALBI,,81005,ALBI CEDEX,563540083,,http://www.greffe-tc-albi.fr,PLACE DU PALAIS,43.92632,2.145789,8h30 à 12h/14h à 16h,8101,albi,https://albi-mongreffe.opendatasoft.com
AUXERRE,90 RUE DE PARIS,89010,AUXERRE CEDEX,386722100,,,,47.798389,3.569212,,8901,auxerre,https://auxerre-mongreffe.opendatasoft.com
BEZIERS,93 AV PRESIDENT WILSON,34500,BEZIERS,467282905,,http://www.greffe-tc-beziers.fr,CITE JUDICIAIRE,43.336564,3.227513,Accueil au public : du lundi au vendredi de 9h à 12h et de 14h A 17h (16h le vendredi)<br/>Permanence téléphonique de 14h à 17h (16h le vendredi),3402,beziers,https://beziers-mongreffe.opendatasoft.com
BAR-LE-DUC,5 RUE FRANCOIS DE GUISE,55014,BAR LE DUC,329790939,329451010,http://www.greffe-tc-barleduc.fr,,48.77087,5.157652,Du Lundi au Vendredi de 8h30 à 12h et de 13h30 à 17h,5501,barleduc,https://barleduc-mongreffe.opendatasoft.com
